2023-01-12 19:35:30.091 | INFO     | src.session:__init__:37 - Auth completed (+380508091700)
2023-01-12 19:35:30.093 | WARNING  | __main__:do_job:10 - Session loaded!
2023-01-12 19:35:30.789 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29139, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:31.506 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29140, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:32.225 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29141, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:32.912 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29142, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:33.627 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29143, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:34.368 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29144, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:35.073 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29145, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:35.847 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29146, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:36.573 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29147, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:37.275 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29148, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:39.589 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29149, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:40.334 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29150, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:41.125 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29151, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:41.895 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29152, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:42.615 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29153, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:43.320 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29154, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:44.031 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29155, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:44.752 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29156, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:45.466 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29157, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:46.207 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29158, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:46.928 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29159, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:49.146 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29160, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:49.858 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29161, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:50.571 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29162, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:51.308 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29163, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:35:52.034 | SUCCESS  | src.session:comment_posts:77 - {'comment_id': 29164, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
